Santa Barbara County, California, Maximum Temperature, July
Units: Degrees Fahrenheit
Missing: -99
Date,Value
192007,83.0
192107,81.5
192207,81.8
192307,80.2
192407,79.6
192507,84.0
192607,81.8
192707,83.4
192807,79.8
192907,81.8
193007,83.0
193107,88.6
193207,79.2
193307,81.4
193407,82.4
193507,80.7
193607,84.7
193707,81.6
193807,79.8
193907,80.4
194007,80.8
194107,80.5
194207,80.7
194307,80.6
194407,76.8
194507,80.6
194607,81.1
194707,81.8
194807,79.2
194907,78.6
195007,80.4
195107,80.3
195207,79.6
195307,81.5
195407,82.2
195507,76.4
195607,77.4
195707,81.7
195807,78.3
195907,83.2
196007,82.1
196107,81.9
196207,77.4
196307,78.4
196407,79.4
196507,78.0
196607,78.6
196707,82.0
196807,80.8
196907,80.1
197007,80.3
197107,80.4
197207,81.5
197307,79.2
197407,80.8
197507,78.0
197607,80.0
197707,81.5
197807,79.4
197907,80.1
198007,80.5
198107,82.2
198207,79.5
198307,81.2
198407,84.4
198507,84.1
198607,80.2
198707,77.2
198807,82.4
198907,82.2
199007,83.1
199107,79.7
199207,80.8
199307,79.1
199407,79.7
199507,82.3
199607,83.2
199707,80.7
199807,82.0
199907,80.4
200007,80.0
200107,80.3
200207,82.5
200307,84.2
200407,82.0
200507,83.7
200607,87.2
200707,82.5
200807,82.0
200907,83.2
201007,79.4
201107,81.1
201207,80.2
201307,83.0
201407,84.4
201507,82.4
201607,83.8
201707,85.2
201807,87.2
201907,82.3
