Santa Barbara County, California, Precipitation, July
Units: Inches
Missing: -99
Date,Value
192007,0.00
192107,0.00
192207,0.07
192307,0.00
192407,0.00
192507,0.06
192607,0.00
192707,0.00
192807,0.00
192907,0.00
193007,0.00
193107,0.00
193207,0.00
193307,0.00
193407,0.00
193507,0.04
193607,0.02
193707,0.00
193807,0.01
193907,0.00
194007,0.00
194107,0.05
194207,0.00
194307,0.00
194407,0.00
194507,0.00
194607,0.02
194707,0.00
194807,0.00
194907,0.01
195007,0.16
195107,0.00
195207,0.03
195307,0.00
195407,0.00
195507,0.00
195607,0.00
195707,0.00
195807,0.00
195907,0.00
196007,0.00
196107,0.01
196207,0.00
196307,0.00
196407,0.01
196507,0.04
196607,0.07
196707,0.00
196807,0.00
196907,0.06
197007,0.00
197107,0.01
197207,0.04
197307,0.00
197407,0.03
197507,0.00
197607,0.02
197707,0.00
197807,0.00
197907,0.00
198007,0.05
198107,0.00
198207,0.00
198307,0.00
198407,0.03
198507,0.01
198607,0.00
198707,0.02
198807,0.01
198907,0.00
199007,0.00
199107,0.04
199207,0.18
199307,0.00
199407,0.00
199507,0.00
199607,0.03
199707,0.09
199807,0.01
199907,0.05
200007,0.00
200107,0.05
200207,0.00
200307,0.07
200407,0.00
200507,0.00
200607,0.00
200707,0.00
200807,0.00
200907,0.00
201007,0.02
201107,0.03
201207,0.00
201307,0.03
201407,0.01
201507,0.14
201607,0.00
201707,0.01
201807,0.00
201907,0.00
